GeneID_NCBI	Symbol_HGNC	Aliases	mean_cov_BGI	median_cov_BGI	perc_cov_BGI_10x	perc_cov_BGI_20x	mean_cov_TWIST	median_cov_TWIST	perc_cov_TWIST_10x	perc_cov_TWIST_20x	GenePanels_Symbol	GenePanel	GenePanelCount
23461	ABCA5	ABC13|EST90625|HTC3	85,5	88,8	98,4	92,3	115,1	118,8	100	100	ABCA5	OMIM (AR)	1
23456	ABCB10	EST20237|M-ABC2|MTABC2	70,9	68,9	77,4	71,2	117,9	120,7	99,4	96,8	ABCB10	"IJZER (AD,AR);OMIM (AD,AR)"	2
8647	ABCB11	ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP	163,8	170,4	100	99,7	156,7	161,4	100	100	ABCB11	"LEVER (AR);OMIM (AR);PCS (AR)"	3
5244	ABCB4	ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3	145,6	151,8	99,9	99,6	149,8	155	100	100	ABCB4	"LEVER (AR);OMIM (AR;AD,AR);PCS (AR)"	3
10058	ABCB6	ABC|LAN|MTABC3|PRP|umat	137,5	140,5	100	99,8	133,9	136,9	100	100	ABCB6	"DERM (AD);OMIM (AD)"	2
22	ABCB7	ABC7|ASAT|Atm1p|EST140535	141,3	148,3	99,5	98,2	127,1	130,7	99,3	98,8	ABCB7	"BEWEGING (XL);BMF (XL);IJZER (XL);OMIM (XL;XLR)"	4
4363	ABCC1	ABC29|ABCC|DFNA77|GS-X|MRP|MRP1	122,1	127,4	98,9	97,9	193,4	199,4	100	100	ABCC1	"DOOF (AD);OMIM (AD)"	2
1244	ABCC2	ABC30|CMOAT|DJS|MRP2|cMRP	128,6	134,7	100	99,9	138,8	143,4	100	100	ABCC2	"LEVER (AR);OMIM (AR);PCS (AR)"	3
368	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	113,5	117,1	93,6	92,4	201,4	207,1	100	100	ABCC6	"ANEURYSM (AD);BLIND (AD,AR);DERM (AD,AR);HART (AD,AR);OMIM (AD,AR);PCS (AR)"	6
6833	ABCC8	ABC36|HHF1|HI|HRINS|MRP8|PHHI|PNDM3|SUR|SUR1|SUR1delta2|TNDM2	126,5	131,9	100	99,8	142,6	145,8	100	100	ABCC8	"EPI (AD);METAB (AD,AR);MR (AD);OMIM (AD;AD,AR);PCS (AR)"	5
10060	ABCC9	ABC37|ATFB12|CANTU|CMD1O|SUR2	167,2	172,8	100	99,9	134,2	137,7	100	100	ABCC9	"DERM (AD);HART (AD);LENGTE (AD);MR (AD);OMIM (AD)"	5
215	ABCD1	ABC42|ALD|ALDP|AMN	87,2	78,1	75,8	71,6	139,8	143	100	100	ABCD1	"BEWEGING (XL);DSD (XLR);HMSN (XL);METAB (XL);MR (XL);OMIM (XL;XLR)"	6
225	ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	195	207,3	100	99,8	163,5	165,9	100	100	ABCD2	"METAB (AR);OMIM (AR)"	2
5825	ABCD3	ABC43|CBAS5|PMP70|PXMP1|ZWS2	123,2	125,8	99,8	97,7	118,4	120,9	100	100	ABCD3	"LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)"	4
5826	ABCD4	ABC41|EST352188|MAHCJ|P70R|P79R|PMP69|PXMP1L	138,9	141,4	99,9	98,6	127,8	130,8	100	100	ABCD4	"BMF (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	5
64240	ABCG5	STSL|STSL2	169,4	173,9	100	100	137,7	141,4	100	100	ABCG5	"HEMOS (AR);METAB (AR);OMIM (AR);PCS (AR)"	4
64241	ABCG8	GBD4|STSL|STSL1	146,5	150,2	99,1	97,3	138,1	142,4	100	100	ABCG8	"HEMOS (AR);METAB (AR);OMIM (AR);PCS (AR)"	4
26090	ABHD12	ABHD12A|BEM46L2|C20orf22|PHARC|dJ965G21.2|hABHD12	93	94,6	91,2	85,2	108,4	110,7	100	99,4	ABHD12	"BEWEGING (AR);BLIND (AR);DOOF (AR);HMSN (AR);METAB (AR);OMIM (AR);PCS (AR)"	7
51099	ABHD5	CGI58|IECN2|NCIE2	217,4	224,8	100	100	140,3	143,1	100	100	ABHD5	"DERM (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	5
25	ABL1	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	170,7	166,9	100	100	149,3	151,1	100	100	ABL1	"ANEURYSM (AD);HART (AD);OMIM (AD;UK,AR,AD,XL)"	3
31	ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	128,4	133,5	98,4	98,1	182,2	187,5	100	100	ACACA	"METAB (AR);OMIM (AR);PCS (AR)"	3
27034	ACAD8	ACAD-8|ARC42|IBDH	142,4	145,4	100	100	144,6	148,1	100	100	ACAD8	"HART (AR);METAB (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR)"	4
28976	ACAD9	MC1DN20|NPD002	138,6	141,7	100	99,9	138,9	142,4	100	100	ACAD9	"HART (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)"	6
34	ACADM	ACAD1|MCAD|MCADH	148,1	154,1	99,8	99	125,7	128,7	100	100	ACADM	"METAB (AR);OMIM (AR);PCS (AR)"	3
35	ACADS	ACAD3|SCAD	128,1	129,3	99,9	98,2	143,4	147,2	100	100	ACADS	"METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	4
36	ACADSB	2-MEBCAD|ACAD7|SBCAD	129,7	133,8	100	99,2	119,2	122,7	100	100	ACADSB	"METAB (AR);OMIM (AR);PCS (AR)"	3
37	ACADVL	ACAD6|LCACD|VLCAD	135,3	138	99,4	97,3	123,3	125,4	100	100	ACADVL	"HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)"	5
176	ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD	131,7	128,1	96,6	92,9	186,9	159	98,9	98,7	ACAN	"LENGTE (AD,AR);OMIM (AD,AR);PCS (AR)"	3
38	ACAT1	ACAT|MAT|T2|THIL	122,9	126,7	99,9	97,6	107,6	110,5	100	100	ACAT1	"METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	4
39	ACAT2		138,7	142,8	100	100	133,1	137	100	100	ACAT2	"METAB (AR);OMIM (AR)"	2
91452	ACBD5	RDLKD	174,6	181,1	100	99,2	152,9	157,6	100	100	ACBD5	"BLIND (AR);BMF (AD);HEMOS (AD);METAB (AR);OMIM (AD;AR)"	5
65057	ACD	PIP1|PTOP|TINT1|TPP1	156	148,6	100	99,9	156,4	158,2	100	100	ACD	"BMF (AD,AR);DERM (AD);DKC (AD,AR);IMMUUN (AD,AR);MELANOOM (AD,AR);OMIM (AR;AD,AR);PCS (AR);TUMOR (AD,AR)"	8
1636	ACE	ACE1|CD143|DCP|DCP1	121	126,8	99,9	98,4	137,2	141,5	100	100	ACE	"ANEURYSM (AD);NIER (AR);OMIM (AR;AD);PCS (AR)"	4
55331	ACER3	APHC|PHCA|PLDECO	136,4	138,9	99,8	98,6	119,8	121,7	100	100	ACER3	"OMIM (AR);PCS (AR)"	2
50	ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	119	122,9	96,3	90,3	134,1	138	100	100	ACO2	"BLIND (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)"	6
51	ACOX1	ACOX|MITCH|PALMCOX|SCOX	140,6	143,2	100	99,9	123	126,7	100	100	ACOX1	"METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	4
8309	ACOX2	BCOX|BRCACOX|BRCOX|CBAS6|THCCox	113,5	120,6	100	99,2	138,3	142,2	100	100	ACOX2	"LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)"	4
93650	ACP4	ACPT|AI1J	96,1	97,1	97,2	88,8	160,5	164,4	100	100	ACP4	"CFA (AR);OMIM (AR)"	2
54	ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TrATPase	179,8	186,4	99,8	98,3	137	143,1	100	100	ACP5	"IMMUUN (AD,AR);LENGTE (AR);OMIM (AD,AR);PCS (AR)"	4
197322	ACSF3		144,4	148,4	100	99,9	141,1	143,4	100	100	ACSF3	"HART (AR);METAB (AR);MR (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR)"	5
2182	ACSL4	ACS4|FACL4|LACS4|MRX63|MRX68	124,5	131,9	98,7	94,6	122,4	126	100	100	ACSL4	"METAB (XL);MR (XL);OMIM (XL)"	3
23305	ACSL6	ACS2|FACL6|LACS 6|LACS2|LACS5	116,1	119,2	96,5	95	124,1	127,2	97,1	97,1	ACSL6	OMIM (UK,AR,AD,XL)	1
58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	93	86,4	99,6	92,3	196,6	200,7	100	100	ACTA1	"AKI (AD,AR);OMIM (AD;AD,AR);OXPHOS (AD);PCS (AR);SPIER (AD)"	5
59	ACTA2	ACTSA	103,1	107,2	100	99	160,6	165,1	100	100	ACTA2	"ANEURYSM (AD);DERM (AD);HART (AD);LEVER (AD);OMIM (AD)"	5
60	ACTB	BRWS1|PS1TP5BP1	83,4	74,3	99,7	96,1	246	254,8	100	100	ACTB	"BEWEGING (AD);DERM (AD);DOOF (AD);EPI (AD);HEMOS (AD);IMMUUN (AD);LENGTE (AD);MR (AD);OMIM (AD);SCHISIS (AD)"	10
70	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	119,4	119,1	100	99,7	197,6	205,8	100	100	ACTC1	"CHD (AD);HART (AD);OMIM (AD)"	3
71	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	135,5	121,5	100	100	221,3	229,6	100	100	ACTG1	"DOOF (AD);MR (AD);OMIM (AD);SCHISIS (AD)"	4
72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	115,3	119,3	99,9	98,2	173,3	179,3	100	100	ACTG2	"LEVER (AD);OMIM (AD)"	2
86	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	147,7	150,5	99,8	98,7	124,1	126,4	100	100	ACTL6A	"MR (AD);OMIM (AD)"	2
51412	ACTL6B	ACTL6|BAF53B|DEE76|EIEE76|IDDSSAD|arpNalpha	141,2	143,9	100	99,8	119,6	121,5	100	100	ACTL6B	"EPI (AD);MR (AD,AR);OMIM (AD;AR;AD,AR);PCS (AR)"	4
87	ACTN1	BDPLT15	140,1	146	100	100	147,9	151,8	100	100	ACTN1	"HEMOS (AD);OMIM (AD)"	2
88	ACTN2	CMD1AA|CMH23|MPD6|MYOCOZ	144,2	147,3	100	100	137,7	141,5	100	100	ACTN2	"HART (AD);OMIM (AD)"	2
81	ACTN4	ACTININ-4|FSGS|FSGS1	133,2	134	100	99,3	154,4	158,7	100	100	ACTN4	"NIER (AD);OMIM (AD)"	2
90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	172,1	181,9	100	100	141,3	144,6	100	100	ACVR1	"IJZER (UK,AR,AD,XL);LENGTE (AD);MR (AD);OMIM (AD;UK,AR,AD,XL);SPIER (AD)"	5
91	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	160,9	165,2	99,7	97,4	130,3	133,3	100	100	ACVR1B	OMIM (UK,AR,AD,XL)	1
93	ACVR2B	ACTRIIB|ActR-IIB|HTX4	130,6	133	98,3	95	136,6	141,4	100	100	ACVR2B	"CHD (AD);CILIO (AD);HART (AD);OMIM (AD;UK,AR,AD,XL)"	4
94	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	119,5	122,9	100	98,9	137,7	142,6	100	100	ACVRL1	"ANEURYSM (AD);DERM (AD);HEMOS (AD);OMIM (AD)"	4
95	ACY1	ACY-1|ACY1D|HEL-S-5	129,3	131,7	100	98,8	137,1	139,3	100	100	ACY1	"EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	5
100	ADA	ADA1	103,6	105,4	100	99,7	131,6	134,3	100	100	ADA	"IMMUUN (AR);METAB (AR);OMIM (AR;UK,AR,AD,XL);PCS (AR);SCID (AR)"	5
51816	ADA2	ADGF|CECR1|IDGFL|PAN|SNEDS|VAIHS	88,9	90,5	100	99	134	138,7	100	100	ADA2	"ANEURYSM (AD);DERM (AR);IMMUUN (AR);OMIM (AR;AD);PCS (AR)"	5
102	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	150,6	154,1	94,8	93,9	134,2	138,1	100	100	ADAM10	"DERM (AD);OMIM (AD)"	2
6868	ADAM17	ADAM18|CD156B|CSVP|NISBD|NISBD1|TACE	146,6	151,6	99,9	99	133,2	137	100	100	ADAM17	"DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)"	4
53616	ADAM22	ADAM 22|DEE61|EIEE61|MDC2	151,5	154,2	99,9	99,5	123,8	126,4	100	100	ADAM22	"MR (AR);OMIM (AR);PCS (AR)"	3
8754	ADAM9	CORD9|MCMP|MDC9|Mltng	169,4	174,5	99,8	99,1	133,7	137,3	100	100	ADAM9	"BLIND (AR);OMIM (AR);PCS (AR)"	3
81794	ADAMTS10	ADAM-TS10|ADAMTS-10|WMS|WMS1	122,6	125,3	99,9	98,5	143	146,5	100	100	ADAMTS10	"DERM (AR);LENGTE (AR);OMIM (AR);OXPHOS (AR);PCS (AR)"	5
11093	ADAMTS13	ADAM-TS13|ADAMTS-13|C9orf8|VWFCP|vWF-CP	95,1	98	97,1	93,8	141,7	145,7	99,9	99,5	ADAMTS13	"HEMOS (AR);NIER (AR);OMIM (AR);PCS (AR)"	4
170691	ADAMTS17	WMS4	117,8	125,2	92,8	89	141	144,9	97,6	95,8	ADAMTS17	"DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)"	4
170692	ADAMTS18	ADAMTS21|KNO2|MMCAT	156,9	163,4	100	99,7	144,7	149	100	100	ADAMTS18	"BLIND (AR);OMIM (AR);PCS (AR)"	3
171019	ADAMTS19		132,6	135,7	95	91,6	135	138,7	100	100	ADAMTS19	"HART (AR);OMIM (AR)"	2
9509	ADAMTS2	ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI	123,3	126,4	99	96,7	149,7	154,8	98,1	97,9	ADAMTS2	"DERM (AR);OMIM (AR);PCS (AR)"	3
9508	ADAMTS3	ADAMTS-4|HKLLS3	165,1	170,6	100	100	149,1	153,5	100	100	ADAMTS3	"DERM (AR);OMIM (AR);PCS (AR)"	3
56999	ADAMTS9		137,1	141,1	99,5	98,7	148,9	153,6	100	100	ADAMTS9	"CILIO (AR);NIER (AR);OMIM (AR)"	3
9719	ADAMTSL2	ADAMTSL-2|GPHYSD1	109	114,3	97,1	93,3	100,6	103,6	99,8	99,4	ADAMTSL2	"DERM (AR);LENGTE (AR);OMIM (AR);PCS (AR)"	4
54507	ADAMTSL4	ADAMTSL-4|ECTOL2|TSRC1	136,7	134,5	100	99,2	156,6	159,6	100	100	ADAMTSL4	"ANEURYSM (AR);BLIND (AR);CFA (AR);OMIM (AR);PCS (AR)"	5
103	ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	125,3	122,4	100	99,8	148,5	150,8	100	100	ADAR	"BEWEGING (AR);DERM (AD,AR);IMMUUN (AR);MR (AR);OMIM (AR;AD,AR);PCS (AR)"	6
104	ADARB1	ADAR2|DRABA2|DRADA2|NEDHYMS|RED1	206,6	209,7	97,9	95,2	137,2	139,4	95,1	95,1	ADARB1	"MR (AR);OMIM (AR);PCS (AR)"	3
113179	ADAT3	FWP005|MRT36|MST121|MSTP121|S863-5|TAD3	107,2	89,9	100	99,7	149,4	145,5	100	100	ADAT3	"MR (AR);OMIM (AR);PCS (AR)"	3
90956	ADCK2	AARF	153,2	168,4	100	100	152,8	156,5	100	100	ADCK2	"OMIM (AR);OXPHOS (AR)"	2
203054	ADCK5		125,4	125,2	100	99,9	141,8	144,8	100	100	ADCK5	"METAB (AR);OMIM (AR)"	2
107	ADCY1	AC1|DFNB44	145,7	152,3	95,2	93,8	136,7	143,9	98,5	97,9	ADCY1	"DOOF (AR);OMIM (AR);PCS (AR)"	3
55811	ADCY10	HCA2|HEL-S-7a|SAC|SACI|Sacy|hsAC	150,8	156,7	100	99,9	138,6	142,8	100	100	ADCY10	"NIER (AD);OMIM (AD)"	2
109	ADCY3	AC-III|AC3|BMIQ19	133,7	130,7	100	99,1	137	140,8	100	100	ADCY3	"DSD (AR);HH (AR);OMIM (AR)"	3
111	ADCY5	AC5|FDFM	129,6	132,5	95,1	91,2	124,2	127,7	99,2	98	ADCY5	"BEWEGING (AD);HART (AD);METAB (AR);OMIM (AD;AR)"	4
112	ADCY6	AC6|LCCS8	165	167	100	100	137	139,5	100	100	ADCY6	"AKI (AR);OMIM (AR);PCS (AR)"	3
120	ADD3	ADDL|CPSQ3	170,8	178,5	99,9	99,5	134,8	138,9	100	100	ADD3	"OMIM (AR);PCS (AR)"	2
30817	ADGRE2	CD312|CD97|EMR2|VBU	150,7	154,9	96,8	96,1	149	153,3	99,1	98,7	ADGRE2	OMIM (AD)	1
9289	ADGRG1	BFPP|BPPR|GPR56|TM7LN4|TM7XN1	159,2	163,9	100	100	158,9	162,8	100	100	ADGRG1	"BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)"	4
10149	ADGRG2	CBAVDX|EDDM6|GPR64|HE6|TM7LN2	92,9	95,4	98,3	92,7	127	130,8	100	100	ADGRG2	OMIM (XL)	1
57211	ADGRG6	APG1|DREG|GPR126|LCCS9|PR126|PS1TP2|VIGR	154,6	160,5	99,9	99	129,4	132,6	100	100	ADGRG6	"AKI (AR);OMIM (AR);PCS (AR)"	3
84059	ADGRV1	FEB4|GPR98|MASS1|USH2B|USH2C|VLGR1|VLGR1b	150,6	155	99,6	98,6	133,1	136,5	100	100	ADGRV1	"BLIND (AR);DOOF (AR);OMIM (AD,AR);PCS (AR)"	4
9370	ADIPOQ	ACDC|ACRP30|ADIPQTL1|ADPN|APM-1|APM1|GBP28	148,8	139,5	100	100	149,8	155	100	100	ADIPOQ	"ANEURYSM (AR);OMIM (UK,AR,AD,XL)"	2
51094	ADIPOR1	ACDCR1|CGI-45|CGI45|PAQR1|TESBP1A	106,5	111,9	99,9	97,8	132,9	137,1	100	100	ADIPOR1	"BLIND (AD);OMIM (AD)"	2
132	ADK	AK	93,4	96,9	84,1	81	96,1	98,4	84,5	84,5	ADK	"LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	5
23394	ADNP	ADNP1|HVDAS|MRD28	238,4	229,2	90,5	90,5	138,8	139,6	95,4	95,4	ADNP	"MR (AD);OMIM (AD)"	2
54936	ADPRS	ADPRHL2|ARH3|CONDSIAS	150,2	159	100	99,8	127,1	131,2	100	100	ADPRS	"BEWEGING (AR);HMSN (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)"	6
154	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	135,3	116,1	100	99,7	169,5	169,5	100	100	ADRB2	OMIM (UK,AR,AD,XL)	1
158	ADSL	AMPS|ASASE|ASL	146,9	150,2	99,2	98,7	130	133,1	100	100	ADSL	"EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	5
122622	ADSS1	ADSSL1|MPD5	119,3	122,3	90,2	87,5	145,3	149	100	100	ADSS1	"OMIM (AR);PCS (AR)"	2
165	AEBP1	ACLP	168,1	159,5	100	100	144,5	148,7	100	100	AEBP1	"OMIM (AR;AD);PCS (AR)"	2
2334	AFF2	FMR2|FMR2P|FRAXE|MRX2|OX19	136,8	133,9	99,9	99,4	137,8	140,2	100	99,8	AFF2	"MR (XL);OMIM (XL;XLR)"	2
27125	AFF4	AF5Q31|CHOPS|MCEF	123,5	118,6	99,9	98,9	135,7	137,4	100	100	AFF4	"MR (AD);OMIM (AD)"	2
10939	AFG3L2	OPA12|SCA28|SPAX5	111,4	115,3	95	91,1	135,4	139,7	100	99,9	AFG3L2	"BEWEGING (AD);BLIND (AD);HMSN (AR);MR (AR);OMIM (AR;AD,AR);OXPHOS (AR);PCS (AR)"	7
174	AFP	AFPD|FETA|HPAFP	117,2	121,6	96,9	89,8	118,8	122,6	100	100	AFP	OMIM (AR)	1
175	AGA	AGU|ASRG|GA	186,7	191,3	100	100	143,2	146,5	100	100	AGA	"BEWEGING (AR);DERM (AR);EPI (AR);IMMUUN (AR);LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	9
123624	AGBL1	CCP4|FECD8	118,3	121,5	98,5	98,4	142,8	145,8	100	100	AGBL1	"BLIND (AD);OMIM (AD)"	2
60509	AGBL5	CCP5|RP75	119	124,5	99,9	99,3	150,5	155,2	100	100	AGBL5	"BLIND (AR);OMIM (AR);PCS (AR)"	3
55750	AGK	CATC5|CTRCT38|MTDPS10|MULK	121,3	123,5	90,6	88,6	130,1	132,3	91,2	91,2	AGK	"BLIND (AR);HART (AR);METAB (AR);OMIM (AR);OXPHOS (AR);PCS (AR)"	6
178	AGL	GDE	172,9	180,5	100	99,4	132,3	136,5	100	100	AGL	"HART (AR);METAB (AR);OMIM (AR);PCS (AR);SPIER (AR)"	5
392636	AGMO	TMEM195	129,9	133	99,2	96	125	127,7	100	100	AGMO	"MR (AR);OMIM (AR)"	2
27161	AGO2	CASC7|EIF2C2|LESKRES|LINC00980|PPD|Q10	128,6	135,7	99,1	99,1	135,7	140,3	99,9	99,5	AGO2	"MR (AD);OMIM (AD)"	2
10555	AGPAT2	1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta	141,8	146,1	99,6	96,1	111,2	114	100	100	AGPAT2	"DERM (AR);HART (AR);METAB (AR);OMIM (AR);PCS (AR)"	5
8540	AGPS	ADAP-S|ADAS|ADHAPS|ADPS|ALDHPSY|RCDP3	82,3	82,8	99,3	95,4	113,2	115,6	100	99,9	AGPS	"LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)"	4
375790	AGRN	AGRIN|CMS8|CMSPPD	137,6	139,7	96,9	92,6	142,6	146,3	100	99,9	AGRN	"HMSN (AR);OMIM (AR);PCS (AR);SPIER (AR)"	4
183	AGT	ANHU|SERPINA8|hFLT1	199,8	208,7	100	100	153,2	156,6	100	100	AGT	"NIER (AR);OMIM (AR);PCS (AR)"	3
23287	AGTPBP1	CCP1|CONDCA|NNA1	139,3	144,2	96	94,1	128,1	130,9	100	100	AGTPBP1	"BEWEGING (AR);HMSN (AR);MR (AR);OMIM (AR);PCS (AR)"	5
185	AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	171,3	192,6	92	91,8	142,5	141,4	100	100	AGTR1	"ANEURYSM (AD);NIER (AR);OMIM (AR;AD);PCS (AR)"	4
189	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	149	150,4	100	100	138,6	142	100	100	AGXT	"METAB (AR);NIER (AR);OMIM (AR);PCS (AR)"	4
191	AHCY	SAHH|adoHcyase	119,6	117,4	100	99,2	147,8	151,8	100	100	AHCY	"LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	5
27245	AHDC1	MRD25|XIGIS	136,5	121,3	100	99,3	148,8	148	100	100	AHDC1	"MR (AD);OMIM (AD)"	2
54806	AHI1	AHI-1|JBTS3|ORF1|dJ71N10.1	149	154,3	99,7	97,9	129,6	133,6	100	100	AHI1	"BLIND (AR);CILIO (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)"	6
196	AHR	RP85|bHLHe76	192,3	203,8	99,2	98,8	127,2	129,9	100	100	AHR	"BLIND (AR);OMIM (AR);PCS (AR)"	3
197	AHSG	A2HS|AHS|APMR1|FETUA|HSGA	182,1	186,5	99,9	99,5	151,9	154,7	100	100	AHSG	"MR (AR);OMIM (AR);PCS (AR)"	3
57379	AICDA	AID|ARP2|CDA2|HEL-S-284|HIGM2	139	148,6	100	100	136	141	100	100	AICDA	"IMMUUN (AD,AR);OMIM (AR;AD,AR);PCS (AR)"	3
9131	AIFM1	AIF|AUNX1|CMT2D|CMTX4|COWCK|COXPD6|DFNX5|NADMR|NAMSD|PDCD8|SEMDHL	115,3	117,3	99,9	98,8	123,6	126,6	100	100	AIFM1	"DOOF (XL);HMSN (XL);LENGTE (XL);MR (XLR);OMIM (XLR);OXPHOS (XL)"	6
9255	AIMP1	EMAP2|EMAPII|HLD3|SCYE1|p43	88,6	92	99,2	94,5	130,6	134,9	100	99,9	AIMP1	"BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)"	4
